sentence, entity type + position
Heute ist der 18. Juni und das ist der Geburtstag von Muiriel!,"[[54, 61, 'PER']]"
"Herzlichen Glückwunsch zum Geburtstag, Muiriel!","[[39, 46, 'PER']]"
Muiriel ist jetzt 20.,"[[0, 7, 'PER']]"
"Das Passwort ist ""Muiriel"".","[[18, 25, 'PER']]"
Das wird 30 € kosten.,"[[12, 13, 'MISC']]"
Ich verdiene 100 Euro pro Tag.,"[[17, 21, 'MISC']]"
"Es ist wundervoll in Amerika zu sein, wenn man hier ist, um Geld zu verdienen.","[[21, 28, 'LOC']]"
"Ich wünschte, ich könnte nach Japan gehen.","[[30, 35, 'LOC']]"
"Ich hätte nicht gedacht, dass ich eines Tages bei Wikipedia ""Viagra"" nachschauen würde.","[[50, 59, 'ORG']]"
"Es ist unvermeidbar, dass ich eines Tages nach Frankreich gehe, ich weiß nur nicht, wann.","[[47, 57, 'LOC']]"
Meine Mutter spricht nicht sehr gut Englisch.,"[[36, 44, 'MISC']]"
Ich spreche nicht gut genug Französisch!,"[[28, 39, 'MISC']]"
Morgen wird er auf dem Mond landen.,"[[23, 27, 'LOC']]"
Ich spreche kein Japanisch.,"[[17, 26, 'MISC']]"
"„Das sieht ziemlich interessant aus“, sagt Hiroshi.","[[43, 50, 'PER']]"
"Das ist sehr nett von Ihnen, antwortete Willie.","[[40, 46, 'PER']]"
Ein Japaner würde so etwas nie tun.,"[[4, 11, 'LOC']]"
"In den 1950ern sagte man den Finnen nach, eine der ungesündesten Ernährungsweisen der Welt zu haben.","[[29, 35, 'LOC']]"
Die Deutschen sind sehr listig.,"[[4, 13, 'LOC']]"
Ich kam vor drei Jahren nach Tokyo und seither habe ich hier gelebt.,"[[29, 34, 'LOC']]"
Ich habe mehr als einen Monat lang in Nagoya gelebt.,"[[38, 44, 'LOC']]"
Die Madrilenen sind verrückt.,"[[4, 14, 'LOC']]"
Das wird eine gute Erinnerung an meine Reise durch die Vereinigten Staaten sein.,"[[55, 74, 'LOC']]"
Sprichst du Italienisch?,"[[12, 23, 'MISC']]"
"Man sagt, dass ""Hamlet"" das interessanteste Stück sei, das je geschrieben wurde.","[[16, 22, 'PER']]"
"Es ist ziemlich schwierig, Französisch nach 2, 3 Jahren zu beherrschen.","[[27, 38, 'MISC']]"
"Ich habe über zwei Stunden gebraucht, um einige Seiten Englisch zu übersetzen.","[[55, 63, 'MISC']]"
Könnte ich Fräulein Brown sprechen?,"[[20, 25, 'PER']]"
"Ja, Orangensaft bitte, sagt Mike.","[[28, 32, 'PER']]"
Paris ist die schönste Stadt der Welt.,"[[0, 5, 'LOC']]"
"He, ich habe vielleicht kein Geld, aber ich habe immer noch meinen Stolz.","[[0, 2, 'PER']]"
"Das ist meine Freundin Rachel, wir sind zusammen ins Gymnasium gegangen.","[[23, 29, 'PER']]"
Ich heiße Jack.,"[[10, 14, 'PER']]"
Wie heißt das auf Italienisch?,"[[18, 29, 'MISC']]"
"Das ist so lange her, dass ich mit meiner Familie ins Disneyland gegangen bin.","[[54, 64, 'LOC']]"
"Man erwartet, dass 2006 hundertfünfzigtausend Paare in Shanghai heiraten.","[[55, 63, 'LOC']]"
Eine halbe Million Kinder im Niger leidet immer noch an Unterernährung.,"[[29, 34, 'LOC']]"
"Die französische Regierung hat ein Online-Spiel auf den Markt gebracht, das Steuerzahler auffordert, den Staatshaushalt auszugleichen.","[[4, 16, 'LOC']]"
Der Zug aus Genf wird in den Bahnhof einfahren.,"[[12, 16, 'LOC']]"
Hast du Freunde in Antigua?,"[[19, 26, 'LOC']]"
Ich möchte in Paris studieren.,"[[14, 19, 'LOC']]"
Rom ist nicht an einem Tage erbaut worden.,"[[0, 3, 'LOC']]"
"Guten Morgen, sagte Tom mit einem Lächeln.","[[20, 23, 'PER']]"
Ich verstehe kein Deutsch.,"[[18, 25, 'MISC']]"
"Die Mathematiker sind eine Art Franzosen: redet man zu ihnen, so übersetzen sie es in ihre Sprache, und dann ist es alsobald ganz etwas anders.","[[31, 40, 'LOC']]"
Ich liebe Lasagne.,"[[10, 17, 'PER']]"
"Wenn man weiß, dass etwas Unangenehmes geschehen wird, dass man zum Beispiel zum Zahnarzt oder nach Frankreich gehen wird, dann ist das nicht gut.","[[100, 110, 'LOC']]"
"Ich habe letzte Woche begonnen, Chinesisch zu lernen.","[[32, 42, 'MISC']]"
Letztes Jahr sind wir nach London gegangen.,"[[27, 33, 'LOC']]"
"Katja leugnete, dass sie eine Anarchistin war, indem sie behauptete, dass sie nur wünschte, Veränderung in unserer Regierung zu machen, nicht, sie zu zerstören.","[[0, 5, 'PER']]"
"David hat ein leidenschaftliches Interesse an Ästhetik - den Eigenschaften, die ein Gemälde, eine Skulptur, eine musikalische Komposition oder ein Gedicht Auge, Ohr oder Geist gefallen lassen.","[[0, 5, 'PER']]"
"Trotz Trangs regelmäßigen Liebesbeteuerungen hat Spenser immer noch Angst, dass sie irgendwann aufhören wird, ihn zu lieben.","[[49, 56, 'PER']]"
Aaah!! Mein Computer ist kaputt!,"[[0, 4, 'PER']]"
Die privaten Colleges und Universitäten der Vereinigten Staaten sind selbstständig.,"[[44, 63, 'LOC']]"
"Sarah war scharfsinnig genug, um zu merken, dass ihre Freunde versuchten, ihr einen Streich zu spielen.","[[0, 5, 'PER']]"
"Frau Eichler war für ihren Ruf bekannt, streng zu ihren Schülern zu sein.","[[5, 12, 'PER']]"
Spensers sarkastische und scherzhafte Bemerkungen werden oft als Zeichen von Doppelwertigkeit missinterpretiert und zu ernst genommen.,"[[0, 8, 'PER']]"
Der Irakkrieg ist ein unberechenbares Thema der politischen Debatte; ein falsches Wort und ein Streit könnte sich entzünden.,"[[4, 13, 'MISC']]"
"Sven war so wortreich, dass seine Freunde sich darauf verlegten, ihn ein Plappermaul zu nennen.","[[0, 4, 'PER']]"
"Obwohl sein Aufenthalt in Europa kurzlebig war, fühlte Spenser, dass er vom Reisen mehr über Beziehungen mit anderen Menschen gelernt hatte, als er es im College getan hatte.","[[26, 32, 'LOC'], [55, 62, 'PER']]"
"Obwohl sein Aufenthalt in Europa kurzlebig war, fühlte Spenser, dass er vom Reisen mehr über Beziehungen mit anderen Menschen gelernt hatte, als er es im College getan hatte.","[[26, 32, 'LOC'], [55, 62, 'PER']]"
"Jason war ein wortkarges Individuum, daher war es immer eine echte Überraschung, wenn er etwas sagte.","[[0, 5, 'PER']]"
"Wenn Spenser nicht weiterhin Sätze hinzufügt und übersetzt, werden die anderen Mitwirkenden ihn sicher übertreffen.","[[5, 12, 'PER']]"
"Laut einer landesweiten Umfrage in den USA ist es ein geläufiger Glaube, dass Moslems mit Terrorismus verbunden sind.","[[39, 42, 'LOC']]"
"Als beide Mädchen John sagten, dass sie Gefühle für ihn hatten, wusste der nicht, mit welchem Mädchen er zusammen sein sollte.","[[18, 22, 'PER']]"
"Sogar jetzt, viele Jahre nach dem Kalten Krieg, ist immer noch viel Verbitterung zwischen Russen und Deutschen, besonders in Gebieten, die einst von der Sowjetunion besetzt waren.","[[34, 46, 'MISC'], [90, 96, 'LOC'], [101, 110, 'LOC'], [153, 164, 'LOC']]"
"Sogar jetzt, viele Jahre nach dem Kalten Krieg, ist immer noch viel Verbitterung zwischen Russen und Deutschen, besonders in Gebieten, die einst von der Sowjetunion besetzt waren.","[[34, 46, 'MISC'], [90, 96, 'LOC'], [101, 110, 'LOC'], [153, 164, 'LOC']]"
"Sogar jetzt, viele Jahre nach dem Kalten Krieg, ist immer noch viel Verbitterung zwischen Russen und Deutschen, besonders in Gebieten, die einst von der Sowjetunion besetzt waren.","[[34, 46, 'MISC'], [90, 96, 'LOC'], [101, 110, 'LOC'], [153, 164, 'LOC']]"
"Sogar jetzt, viele Jahre nach dem Kalten Krieg, ist immer noch viel Verbitterung zwischen Russen und Deutschen, besonders in Gebieten, die einst von der Sowjetunion besetzt waren.","[[34, 46, 'MISC'], [90, 96, 'LOC'], [101, 110, 'LOC'], [153, 164, 'LOC']]"
"Johnson ist ein Einsiedler; er zieht es vor, sich vom Rest der Schüler in unserer Klasse abzusondern.","[[0, 7, 'PER']]"
"Jeanne d'Arc weigerte sich, ihre Überzeugung zu leugnen, dass die Stimme, die sie hörte, von niemand anderem als Gott war.","[[0, 12, 'PER']]"
"James hatte große Angst, im Unterricht Fehler zu machen und zurechtgewiesen zu werden.","[[0, 5, 'PER']]"
"Um zu verhindern, dass seine Originalidee kopiert würde, verlegte sich Henry auf Schweigsamkeit.","[[71, 76, 'PER']]"
Tim ist ein großer Fan von satirischen Komödien.,"[[0, 3, 'PER']]"
"Obwohl Alfred penibel beim Erfüllen seiner Aufgaben bei der Arbeit ist, ist er weniger gewissenhaft bei seinen Pflichten zu Hause.","[[7, 13, 'PER']]"
"Spensers Mutter überprüft oft jeden kleinen Fehler, den er macht.","[[0, 8, 'PER']]"
"Jimmy versuchte, seine Eltern dazu zu kriegen, ihn mit seinen Freunden quer durch das Land fahren zu lassen.","[[0, 5, 'PER']]"
"Bill Clinton sprach eine mehrdeutige Sprache, als er gebeten wurde, sein Verhältnis mit Monika Lewinsky zu beschreiben.","[[0, 12, 'PER'], [88, 103, 'PER']]"
"Bill Clinton sprach eine mehrdeutige Sprache, als er gebeten wurde, sein Verhältnis mit Monika Lewinsky zu beschreiben.","[[0, 12, 'PER'], [88, 103, 'PER']]"
"Ray war bereit, Garys Geschichte zu bestätigen, aber die Polizei war noch immer nicht überzeugt, dass einer von beiden die Wahrheit erzählte.","[[0, 3, 'PER'], [16, 21, 'PER']]"
"Ray war bereit, Garys Geschichte zu bestätigen, aber die Polizei war noch immer nicht überzeugt, dass einer von beiden die Wahrheit erzählte.","[[0, 3, 'PER'], [16, 21, 'PER']]"
"Ich muss die Wäsche machen, solange die Sonne noch da ist.","[[40, 45, 'LOC']]"
Smith hat jahrelang die Auswirkungen von Schlaf und Schlafmangel auf das Gedächtnis und das Lernen untersucht.,"[[0, 5, 'PER']]"
"Ich habe die französische Staatsbürgerschaft, aber ich bin von vietnamesischer Abstammung.","[[13, 25, 'LOC'], [63, 78, 'LOC']]"
"Ich habe die französische Staatsbürgerschaft, aber ich bin von vietnamesischer Abstammung.","[[13, 25, 'LOC'], [63, 78, 'LOC']]"
"Denkst du, dass die Menschen eines Tages den Mond besiedeln werden?","[[45, 49, 'LOC']]"
"Die NASA lässt verlauten, dass sie schon genügend Informationen besitzt, um zu bestätigen, dass ein Besuch des Menschen auf dem roten Planeten möglich ist.","[[4, 8, 'ORG']]"
Beim Pizzaessen ärgerte er seine Schwester.,"[[5, 15, 'LOC']]"
"Als ich in deinem Alter war, war Pluto ein Planet.","[[33, 38, 'PER']]"
"In ihrem Pantherfellsessel sitzend, las die junge Frau mit der roten Unterwäsche laut ein Buch mit dem Titel ""Die schwarze Prinzessin"".","[[110, 133, 'MISC']]"
"Ein Strom kam aus Eden, um den Garten zu bewässern und von dort aus teilte er sich, um vier Seitenarme zu bilden.","[[18, 22, 'LOC']]"
"Ich mag Cavalieri, Tonelli und Fubini immer noch nicht, und morgen habe ich schon meine mündliche Analysisprüfung.","[[8, 17, 'PER'], [19, 26, 'PER'], [31, 37, 'PER']]"
"Ich mag Cavalieri, Tonelli und Fubini immer noch nicht, und morgen habe ich schon meine mündliche Analysisprüfung.","[[8, 17, 'PER'], [19, 26, 'PER'], [31, 37, 'PER']]"
"Ich mag Cavalieri, Tonelli und Fubini immer noch nicht, und morgen habe ich schon meine mündliche Analysisprüfung.","[[8, 17, 'PER'], [19, 26, 'PER'], [31, 37, 'PER']]"
"Ich habe gerade gesehen, dass der Botschafter Saudi-Arabiens in Washington zurückgetreten ist.","[[46, 60, 'LOC'], [64, 74, 'LOC']]"
"Ich habe gerade gesehen, dass der Botschafter Saudi-Arabiens in Washington zurückgetreten ist.","[[46, 60, 'LOC'], [64, 74, 'LOC']]"
Gonzales schenkt allen seinen Angestellten in Europa ein Fahrrad.,"[[0, 8, 'PER'], [46, 52, 'LOC']]"
Gonzales schenkt allen seinen Angestellten in Europa ein Fahrrad.,"[[0, 8, 'PER'], [46, 52, 'LOC']]"
Wie viel Trinkgeld gibt man in Spanien?,"[[31, 38, 'LOC']]"
"Ich werde niemandem die Pistole auf die Brust setzen, um in Barcelona zu bleiben.","[[60, 69, 'LOC']]"
Er ist Argentinier und gibt Tennisunterricht.,"[[7, 18, 'LOC']]"
"An erster Stelle möchte ich meinem Doktorvater Dr. Juan Pisto besonderen Dank aussprechen für seine Geduld, seine Anstrengungen und seine Hingabe.","[[47, 61, 'PER']]"
Der Gitarrist von Bang wird laut einer Ankündigung des Sprechers der Band zum zweiten Mal Vater.,"[[18, 22, 'PER']]"
"Manchmal sorgt sich Spenser so sehr um Trang, dass er sie dazu bringt, zu glauben, dass er überfürsorglich ist.","[[20, 27, 'PER']]"
"Die wissenschaftliche Theorie, die mir am besten gefällt, ist, dass die Ringe des Saturn vollständig aus verlorenem Gepäck bestehen.","[[82, 88, 'LOC']]"
"Die einzige Möglichkeit auf der Erde, Glück zu vervielfachen, ist, es zu teilen.","[[32, 36, 'LOC']]"
"Es gibt keine Distanz auf der Erde, die so weit entfernt ist wie gestern.","[[30, 34, 'LOC']]"
Japan ist voll von wunderschönen Städten. Kyoto und Nara zum Beispiel.,"[[0, 5, 'LOC'], [42, 47, 'LOC'], [52, 56, 'PER']]"
Japan ist voll von wunderschönen Städten. Kyoto und Nara zum Beispiel.,"[[0, 5, 'LOC'], [42, 47, 'LOC'], [52, 56, 'PER']]"
Japan ist voll von wunderschönen Städten. Kyoto und Nara zum Beispiel.,"[[0, 5, 'LOC'], [42, 47, 'LOC'], [52, 56, 'PER']]"
"Seit Mario mich angelogen hat, spreche ich nicht mehr mit ihm.","[[5, 10, 'PER']]"
Das Flugzeug wurde wegen Nebel nach München umgeleitet.,"[[36, 43, 'LOC']]"
Zweiundfünfzig Prozent der britischen Frauen ziehen Schokolade dem Sex vor.,"[[27, 37, 'LOC']]"
"Fast die Hälfte der Männer in Großbritannien schenkt ihrer Partnerin regelmäßig Schokolade, besonders zu deren Geburtstag.","[[30, 44, 'LOC']]"
Coles Axiom: Die Summe der Intelligenz auf der Erde ist eine Konstante; die Bevölkerung wächst ständig.,"[[0, 5, 'PER'], [47, 51, 'LOC']]"
Coles Axiom: Die Summe der Intelligenz auf der Erde ist eine Konstante; die Bevölkerung wächst ständig.,"[[0, 5, 'PER'], [47, 51, 'LOC']]"
Alle Wege führen nach Rom.,"[[22, 25, 'LOC']]"
Mali ist eines der ärmsten Länder Afrikas südlich der Saharawüste.,"[[0, 4, 'LOC'], [34, 41, 'LOC'], [54, 65, 'LOC']]"
Mali ist eines der ärmsten Länder Afrikas südlich der Saharawüste.,"[[0, 4, 'LOC'], [34, 41, 'LOC'], [54, 65, 'LOC']]"
Mali ist eines der ärmsten Länder Afrikas südlich der Saharawüste.,"[[0, 4, 'LOC'], [34, 41, 'LOC'], [54, 65, 'LOC']]"
Florenz ist die schönste Stadt Italiens.,"[[0, 7, 'LOC'], [31, 39, 'LOC']]"
Florenz ist die schönste Stadt Italiens.,"[[0, 7, 'LOC'], [31, 39, 'LOC']]"
Maria hat lange Haare.,"[[0, 5, 'PER']]"
Ich habe für einen Monat ein Zimmer in Paris gemietet.,"[[39, 44, 'LOC']]"
"Wie kommt es, dass du so viel über die japanische Geschichte weißt?","[[39, 49, 'LOC']]"
Nara ist eine ruhige und schöne Stadt.,"[[0, 4, 'LOC']]"
"Ah! Wenn ich reich wäre, würde ich mir ein Haus in Spanien kaufen.","[[51, 58, 'LOC']]"
"Frag Trang, ob er heute Abend ausgeht.","[[0, 10, 'LOC']]"
"Er hat mir gesagt, er würde nach Venedig gehen.","[[33, 40, 'LOC']]"
"Wasser gefriert bei null Grad Celsius, oder?","[[30, 37, 'PER']]"
Muiriel ärgert mich in letzter Zeit gerne.,"[[0, 7, 'PER']]"
"Wir sind mit dem Regen gegangen, aber mit der Sonne angekommen.","[[46, 51, 'LOC']]"
Wissenschaftler der Universität Harvard haben die Menge männlichen Hormons im Speichel von 58 ledigen und verheirateten Männern mit oder ohne Kinder gemessen.,"[[20, 39, 'ORG']]"
"Das ist eine Hypothese, die von einer amerikanischen Studie vorgeschlagen wird.","[[38, 52, 'LOC']]"
"Verwirrt durch Sherlock Holmes rätselhafte Äußerungen, fragte sich Watson, ob Holmes absichtlich seine Überlegungen zu dem Verbrechen verheimlichte.","[[15, 30, 'PER'], [67, 73, 'PER'], [78, 84, 'PER']]"
"Verwirrt durch Sherlock Holmes rätselhafte Äußerungen, fragte sich Watson, ob Holmes absichtlich seine Überlegungen zu dem Verbrechen verheimlichte.","[[15, 30, 'PER'], [67, 73, 'PER'], [78, 84, 'PER']]"
"Verwirrt durch Sherlock Holmes rätselhafte Äußerungen, fragte sich Watson, ob Holmes absichtlich seine Überlegungen zu dem Verbrechen verheimlichte.","[[15, 30, 'PER'], [67, 73, 'PER'], [78, 84, 'PER']]"
Zweiunddreißig madagassische Stipendiaten fliegen fort nach China.,"[[15, 28, 'LOC'], [60, 65, 'LOC']]"
Zweiunddreißig madagassische Stipendiaten fliegen fort nach China.,"[[15, 28, 'LOC'], [60, 65, 'LOC']]"
"Der Mann, der vor einer Stunde angerufen hat, war Frank.","[[50, 55, 'PER']]"
"Es ist unmöglich, in einem Monat Englisch zu lernen.","[[33, 41, 'MISC']]"
Ich schulde dir 3000 Yen.,"[[21, 24, 'MISC']]"
Ann hat eine Schwäche für Schokolade.,"[[0, 3, 'PER']]"
Ann spielt sehr gut Tennis.,"[[0, 3, 'PER']]"
"Man sagt, dass Ann ihre Anführerin ist.","[[15, 18, 'PER']]"
Ann wird nicht zu unserer Party kommen.,"[[0, 3, 'PER']]"
Ann scheint krank zu sein.,"[[0, 3, 'PER']]"
"Ich denke, Ann liebt Jack.","[[11, 14, 'PER'], [21, 25, 'PER']]"
"Ich denke, Ann liebt Jack.","[[11, 14, 'PER'], [21, 25, 'PER']]"
Ann ist ein kleines Mädchen.,"[[0, 3, 'PER']]"
In jeder amerikanischen Stadt gibt es eine Bücherei.,"[[9, 23, 'LOC']]"
Die Vereinigten Staaten grenzen an Kanada.,"[[4, 23, 'LOC'], [35, 41, 'LOC']]"
Die Vereinigten Staaten grenzen an Kanada.,"[[4, 23, 'LOC'], [35, 41, 'LOC']]"
Arabisch ist eine sehr wichtige Sprache.,"[[0, 8, 'MISC']]"
Kannst du mir fünfhundert Yen leihen?,"[[26, 29, 'MISC']]"
Eine Reise nach Amerika kommt nicht in Frage.,"[[16, 23, 'LOC']]"
"Verglichen mit denen in Amerika, enden japanische Ehen selten mit der Scheidung.","[[24, 31, 'LOC'], [39, 49, 'LOC']]"
"Verglichen mit denen in Amerika, enden japanische Ehen selten mit der Scheidung.","[[24, 31, 'LOC'], [39, 49, 'LOC']]"
Lucy kommt aus Amerika.,"[[0, 4, 'PER'], [15, 22, 'LOC']]"
Lucy kommt aus Amerika.,"[[0, 4, 'PER'], [15, 22, 'LOC']]"
Ich war nie in Amerika.,"[[15, 22, 'LOC']]"
Ich fliege nach Amerika.,"[[16, 23, 'LOC']]"
Englisch wird in Amerika gesprochen.,"[[0, 8, 'MISC'], [17, 24, 'LOC']]"
Englisch wird in Amerika gesprochen.,"[[0, 8, 'MISC'], [17, 24, 'LOC']]"
Diesen Sommer gehe ich nach Amerika.,"[[28, 35, 'LOC']]"
"Sein Wunsch ist, nach Amerika zu gehen.","[[22, 29, 'LOC']]"
Eine Reise nach Amerika in diesem Sommer kommt nicht in Frage.,"[[16, 23, 'LOC']]"
Australien ist kleiner als Südamerika.,"[[0, 10, 'LOC'], [27, 37, 'LOC']]"
Australien ist kleiner als Südamerika.,"[[0, 10, 'LOC'], [27, 37, 'LOC']]"
Nächstes Jahr werde ich nach Amerika gehen.,"[[29, 36, 'LOC']]"
"Sie ist nach Amerika gegangen, um Medizin zu studieren.","[[13, 20, 'LOC']]"
Seine Frau ist Französin.,"[[15, 24, 'LOC']]"
Seine Frau kommt aus Kalifornien.,"[[21, 32, 'LOC']]"
"Ich bin Japaner, antwortete der Junge.","[[8, 15, 'LOC']]"
Dieses Haus gehört Herrn Yamada.,"[[25, 31, 'PER']]"
"Waren Sie schon mal in New York? ""Ja, ich war einige Male dort.""","[[23, 31, 'LOC']]"
Maria interessiert sich für Politik.,"[[0, 5, 'PER']]"
Frau Brown hat ein Buch über Politik geschrieben.,"[[5, 10, 'PER']]"
"Jane muss aufhören, ihrem Verlangen nach Schokolade nachzugeben.","[[0, 4, 'PER']]"
Afrika wurde früher der schwarze Kontinent genannt.,"[[0, 6, 'LOC']]"
Der Amazonas ist der zweitlängste Fluss der Welt nach dem Nil.,"[[4, 12, 'LOC'], [58, 61, 'LOC']]"
Der Amazonas ist der zweitlängste Fluss der Welt nach dem Nil.,"[[4, 12, 'LOC'], [58, 61, 'LOC']]"
Der Amazonas hat eine große Zahl an Nebenflüssen.,"[[4, 12, 'LOC']]"
Im siebten Jahrhundert hat der indische Mathematiker Brahmagupta die kleinste positive ganzzahlige Lösung der Gleichung x²-92y²=1 gefunden.,"[[31, 39, 'LOC'], [53, 64, 'PER']]"
Im siebten Jahrhundert hat der indische Mathematiker Brahmagupta die kleinste positive ganzzahlige Lösung der Gleichung x²-92y²=1 gefunden.,"[[31, 39, 'LOC'], [53, 64, 'PER']]"
Der Iran hat den USA den Krieg erklärt.,"[[4, 8, 'LOC'], [17, 20, 'LOC']]"
