sentence, entity type + position
In Parijs heb ik voor een maand een kamer gehuurd.,"[[3, 9, 'LOC']]"
Muiriel is nu 20 jaar oud.,"[[0, 7, 'LOC']]"
Gerechtigheid is duur.,"[[0, 13, 'LOC']]"
Vandaag is het 18 juni en het is de verjaardag van Muiriel!,"[[51, 59, 'PER']]"
"Het wachtwoord is ""Muiriel"".","[[19, 26, 'LOC']]"
Spanjaarden hebben twee achternamen.,"[[0, 11, 'LOC']]"
Paco tekent stadsgezichten,"[[0, 4, 'PER']]"
Raúl kan zich zonder zijn vrienden niet vermaken.,"[[0, 4, 'PER']]"
Rosa Montero is een heel bijzondere vrouw.,"[[0, 12, 'PER']]"
Rubén is vader van drie kinderen.,"[[0, 5, 'PER']]"
Sinds 1975 kent Spanje een democratie.,"[[16, 22, 'LOC']]"
Hallo.,"[[0, 6, 'PER']]"
Welkom!,"[[0, 7, 'LOC']]"
Engels wordt hier niet gesproken.,"[[0, 6, 'MISC']]"
Welke jongen is Masao?,"[[16, 22, 'LOC']]"
Waarom?,"[[0, 7, 'LOC']]"
Wees niet bang om fouten te maken wanneer je Engels spreekt.,"[[45, 51, 'MISC']]"
Schrijf alstublieft met een pen.,"[[0, 7, 'PER']]"
Zeg het in het Engels.,"[[15, 21, 'MISC']]"
Zeg 'aaa'.,"[[0, 10, 'PER']]"
Vertaal deze zin in het Japans alstublieft.,"[[24, 30, 'LOC']]"
Vertaal de volgende zinnen in het Japans.,"[[34, 41, 'LOC']]"
Het kostte me meer dan twee uur om een paar pagina's in het Engels te vertalen.,"[[60, 66, 'MISC']]"
Kleren maken de man.,"[[0, 6, 'PER']]"
We bleven tijdens de nacht in Hakone.,"[[30, 37, 'LOC']]"
Wat?,"[[0, 4, 'LOC']]"
Probeer het nog eens.,"[[0, 7, 'LOC']]"
Ze zijn met de auto naar Chicago gegaan.,"[[25, 32, 'LOC']]"
Wat is de oorsprong van de Olympische Spelen?,"[[27, 45, 'MISC']]"
"Hoe hard je het ook probeert, Engels leer je niet in twee, drie maanden.","[[30, 36, 'MISC']]"
Hij is teruggekomen uit China.,"[[24, 30, 'LOC']]"
Japan heeft diplomatieke betrekkingen met China.,"[[0, 5, 'LOC'], [42, 48, 'LOC']]"
Japan heeft diplomatieke betrekkingen met China.,"[[0, 5, 'LOC'], [42, 48, 'LOC']]"
Frankrijk voerde oorlog met Rusland.,"[[0, 9, 'LOC'], [28, 36, 'LOC']]"
Frankrijk voerde oorlog met Rusland.,"[[0, 9, 'LOC'], [28, 36, 'LOC']]"
Frans wordt in Frankrijk gesproken.,"[[0, 5, 'MISC'], [15, 24, 'LOC']]"
Frans wordt in Frankrijk gesproken.,"[[0, 5, 'MISC'], [15, 24, 'LOC']]"
Het is moeilijk voor buitenlanders om Japans te leren.,"[[38, 44, 'LOC']]"
De Verenigde Staten grenzen aan Canada.,"[[3, 19, 'LOC'], [32, 39, 'LOC']]"
De Verenigde Staten grenzen aan Canada.,"[[3, 19, 'LOC'], [32, 39, 'LOC']]"
Bovendien kan hij Ivriet lezen.,"[[18, 24, 'PER']]"
Gisteren was u niet op school.,"[[0, 8, 'LOC']]"
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 158, 'LOC'], [167, 176, 'LOC'], [180, 186, 'LOC']]"
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 158, 'LOC'], [167, 176, 'LOC'], [180, 186, 'LOC']]"
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 158, 'LOC'], [167, 176, 'LOC'], [180, 186, 'LOC']]"
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 158, 'LOC'], [167, 176, 'LOC'], [180, 186, 'LOC']]"
