sentence, entity type + position
Today is June 18th and it is Muiriel's birthday!,"[[29, 38, 'PER']]"
Muiriel is 20 now.,"[[0, 7, 'LOC']]"
"The password is ""Muiriel"".","[[17, 24, 'LOC']]"
Hurry up.,"[[0, 9, 'PER']]"
That's the stupidest thing I've ever said.,"[[27, 31, 'MISC']]"
"America is a lovely place to be, if you are here to earn money.","[[0, 7, 'LOC']]"
"I may be antisocial, but it doesn't mean I don't talk to people.","[[41, 53, 'MISC']]"
"If anyone was to ask what the point of the story is, I really don't know.","[[53, 73, 'MISC']]"
I wish I could go to Japan.,"[[21, 26, 'LOC']]"
"Even though he apologized, I'm still furious.","[[27, 30, 'MISC']]"
"I wouldn't have thought I would someday look up ""Viagra"" in Wikipedia.","[[60, 70, 'LOC']]"
I will play Sudoku then instead of continuing to bother you.,"[[12, 18, 'PER']]"
Congratulations!,"[[0, 16, 'MISC']]"
"It is inevitable that I go to France someday, I just don't know when.","[[30, 36, 'LOC']]"
What other options do I have?,"[[22, 29, 'MISC']]"
What do you think I've been doing?,"[[18, 22, 'MISC']]"
My mom doesn't speak English very well.,"[[21, 28, 'MISC']]"
I don't speak French well enough!,"[[14, 20, 'MISC']]"
Therein lies the problem.,"[[0, 7, 'LOC']]"
"Whatever I do, she says I can do better.","[[0, 10, 'PER']]"
You'd be surprised what you can learn in a week.,"[[0, 5, 'PER']]"
"Life is hard, but I am harder.","[[0, 4, 'PER']]"
Bearing can be unbearable.,"[[0, 7, 'LOC']]"
Stop it! You're making her feel uncomfortable!,"[[0, 15, 'MISC']]"
I don't speak Japanese.,"[[14, 23, 'MISC']]"
"There will always be things I will never learn, I don't have eternity before me!","[[48, 69, 'MISC']]"
"Who is it? ""It's your mother.""","[[0, 3, 'ORG']]"
"This looks pretty interesting, Hiroshi says.","[[31, 38, 'PER']]"
"That's very nice of you, Willie answered.","[[25, 41, 'PER']]"
Haven't we met somewhere before? asked the student.,"[[0, 7, 'PER']]"
A Japanese would never do such a thing.,"[[2, 10, 'MISC']]"
Allen is a poet.,"[[0, 5, 'PER']]"
Rye was called the grain of poverty.,"[[0, 3, 'PER']]"
"In the 1950's, the Finns were cited as having one of the least healthy diets in the world.","[[19, 24, 'LOC']]"
The Germans are very crafty.,"[[4, 11, 'MISC']]"
"Democracy is the worst form of government, except all the others that have been tried.","[[0, 9, 'MISC']]"
People from Madrid are weird.,"[[12, 18, 'LOC']]"
Damn! It's not bad!,"[[0, 10, 'MISC']]"
Wash before first wearing.,"[[0, 4, 'PER']]"
This will be a good souvenir of my trip around the United States.,"[[51, 64, 'LOC']]"
Do you speak Italian?,"[[13, 21, 'MISC']]"
May I ask a question?,"[[0, 5, 'PER']]"
It's quite difficult to master French in 2 or 3 years.,"[[31, 37, 'MISC']]"
It took me more than two hours to translate a few pages of English.,"[[59, 66, 'MISC']]"
May I talk to Ms. Brown?,"[[0, 5, 'PER'], [14, 24, 'MISC']]"
May I talk to Ms. Brown?,"[[0, 5, 'PER'], [14, 24, 'MISC']]"
"Yes, orange juice please, says Mike.","[[31, 36, 'PER']]"
Ah! is an interjection.,"[[0, 3, 'MISC']]"
Paris is the most beautiful city in the world.,"[[0, 5, 'LOC']]"
"Hey, I may have no money, but I still have my pride.","[[0, 6, 'MISC']]"
I think I'm gonna go to sleep.,"[[8, 30, 'MISC']]"
My name is Jack.,"[[11, 16, 'PER']]"
How do you say that in Italian?,"[[23, 31, 'MISC']]"
Italy is a very beautiful country.,"[[0, 5, 'LOC']]"
Open your mouth!,"[[0, 16, 'MISC']]"
Love is never wasted.,"[[0, 4, 'PER']]"
Life is what happens to you while you're busy making other plans.,"[[0, 4, 'PER']]"
Thanks to you I've lost my appetite.,"[[14, 18, 'PER']]"
It has been so long since I last went to Disneyland with my family.,"[[41, 51, 'LOC']]"
"My friends always say I'm too calm, but my family always says I'm too annoying.","[[22, 25, 'MISC'], [62, 65, 'MISC']]"
"My friends always say I'm too calm, but my family always says I'm too annoying.","[[22, 25, 'MISC'], [62, 65, 'MISC']]"
I hate those spiders. They're always there to freak me out when I'm cleaning.,"[[22, 29, 'LOC']]"
Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.,"[[0, 11, 'MISC']]"
"Speak more slowly, please!","[[0, 5, 'PER']]"
Merry Christmas!,"[[0, 16, 'PER']]"
One hundred and fifty thousand couples are expected to get married in Shanghai in 2006.,"[[70, 78, 'LOC']]"
Half a million children still face malnutrition in Niger.,"[[51, 57, 'LOC']]"
The French government has launched an online game that challenges taxpayers to balance the national budget.,"[[4, 10, 'MISC']]"
The train from Geneva will arrive at the station.,"[[15, 21, 'LOC']]"
Do you have friends in Antigua?,"[[23, 31, 'LOC']]"
I'd like to study in Paris.,"[[21, 26, 'LOC']]"
Creationism is a pseudo-science.,"[[0, 11, 'LOC']]"
Give me time to give you everything I have!,"[[36, 43, 'MISC']]"
Rome wasn't built in a day.,"[[0, 4, 'LOC']]"
"Good morning, said Tom with a smile.","[[19, 22, 'PER']]"
Wine is poetry in bottles.,"[[0, 4, 'MISC']]"
Mathematicians are like French people: whatever you tell them they translate it into their own language and turn it into something totally different.,"[[24, 30, 'MISC']]"
Evening dress is desired.,"[[0, 7, 'PER']]"
Give him an inch and he'll take a yard.,"[[21, 26, 'LOC']]"
"Smile now, cry later!","[[0, 5, 'ORG']]"
At the age of six he had learned to use the typewriter and told the teacher that he did not need to learn to write by hand.,"[[118, 123, 'PER']]"
Life is beautiful.,"[[0, 4, 'PER']]"
"If you know that something unpleasant will happen, that you will go to the dentist for example, or to France, then that is not good.","[[102, 108, 'LOC']]"
"There are people in the world so hungry, that God cannot appear to them except in the form of bread.","[[46, 49, 'MISC']]"
Justice is expensive.,"[[0, 7, 'LOC']]"
Life is a fatal sexually transmitted disease.,"[[0, 4, 'PER']]"
Hello? Are you still here?,"[[0, 10, 'MISC']]"
I started learning Chinese last week.,"[[19, 26, 'MISC']]"
It is easier to hit on people on the Internet than in the street.,"[[37, 45, 'MISC']]"
Someday I will buy a cotton candy machine.,"[[0, 9, 'MISC']]"
We went to London last year.,"[[11, 17, 'LOC']]"
It's presumptuous for humans to assume that our task is to do what only God can do.,"[[72, 75, 'MISC']]"
"Denying she was an anarchist, Katja maintained she wished only to make changes in our government, not to destroy it.","[[30, 35, 'PER']]"
"Blindness is responsible for a staggering toll of poor health, suffering, and loss of dignity and diminution in the quality of lives of people worldwide.","[[0, 9, 'PER']]"
"David has a keen interest in aesthetics — the qualities that make a painting, sculpture, musical composition, or poem pleasing to the eye, ear, or mind.","[[0, 5, 'PER']]"
"Despite Trang's constant affirmations of love, Spenser is still afraid someday she will fall out of love with him.","[[47, 54, 'PER']]"
Aaah!! My computer is broken!,"[[0, 9, 'MISC']]"
The private colleges and universities of the United States are autonomous.,"[[45, 58, 'LOC']]"
"Every time I join a new game of Warcraft, I am pitted against a new team of adversaries.","[[32, 43, 'MISC']]"
"From the moment that I knew that the university existed, I've wanted to go there.","[[57, 61, 'PER']]"
Sarah was discerning enough to realize that her friends were trying to prank her.,"[[0, 5, 'PER']]"
I have a great fear of being disdained by those I love and care about.,"[[48, 54, 'MISC']]"
Ms. Eichler had a notorious reputation for being austere to her students.,"[[0, 11, 'PER']]"
Spenser's sarcastic and joking remarks are often misinterpreted as signs of ambivalence and often taken too seriously.,"[[0, 9, 'MISC']]"
I consider the Jehovah's witnesses who knock on my door all the time to be no different from religious zealots trying to force their beliefs on me.,"[[15, 24, 'MISC']]"
The war on Iraq is a volatile subject of political debate; any wrong word and a heated argument could spark.,"[[11, 15, 'LOC']]"
Sven was so verbose that his friends resorted to calling him a chatterbox.,"[[0, 4, 'PER']]"
Even people who don't believe in the Catholic church venerate the Pope as a symbolic leader.,"[[37, 45, 'MISC']]"
"Unsure of which suitor she wanted to marry, the princess vacillated, saying now one, now the other.","[[0, 6, 'MISC']]"
The recent scandals involving altar boys and religious leaders have undermined the faith people have in the Church.,"[[108, 115, 'LOC']]"
"Though his stay in Europe was transient, Spenser felt he had learned much more about interactions with other people from traveling than he did at college.","[[19, 25, 'LOC'], [41, 48, 'PER']]"
"Though his stay in Europe was transient, Spenser felt he had learned much more about interactions with other people from traveling than he did at college.","[[19, 25, 'LOC'], [41, 48, 'PER']]"
"Jason was a taciturn individual, so it was always a real surprise when he said anything.","[[0, 5, 'PER']]"
Spenser would not tell anyone his surreptitious plan to get back at his friends for pranking him.,"[[0, 7, 'PER']]"
"If Spenser doesn't keep adding and translating sentences, the other contributors will surely surpass him.","[[3, 10, 'PER']]"
"It depends what you mean by ""believe"" in God.","[[41, 45, 'MISC']]"
The people who come on the Maury Povich show often make pretentious claims about their lovers cheating on them.,"[[27, 39, 'MISC']]"
"It is a prevalent belief, according to a nationwide poll in the United States, that Muslims are linked with terrorism.","[[64, 77, 'LOC'], [84, 91, 'MISC']]"
"It is a prevalent belief, according to a nationwide poll in the United States, that Muslims are linked with terrorism.","[[64, 77, 'LOC'], [84, 91, 'MISC']]"
Freud's insights into human behavior led to him being honored as a profound thinker.,"[[0, 7, 'PER']]"
The proliferation of Internet usage has given birth to a new generation of young people.,"[[21, 29, 'MISC']]"
"My friends say I'm a prolific writer, but I haven't written anything for months.","[[15, 18, 'MISC']]"
"When both girls told John they had feelings for him, he was in a quandary as to which girl he should be with.","[[21, 25, 'PER']]"
"Even now, many years after the Cold War, there is still much rancor between the Russians and the Germans, especially in areas once occupied by the Soviet Union.","[[31, 39, 'MISC'], [80, 88, 'MISC'], [97, 104, 'MISC'], [147, 160, 'LOC']]"
"Even now, many years after the Cold War, there is still much rancor between the Russians and the Germans, especially in areas once occupied by the Soviet Union.","[[31, 39, 'MISC'], [80, 88, 'MISC'], [97, 104, 'MISC'], [147, 160, 'LOC']]"
"Even now, many years after the Cold War, there is still much rancor between the Russians and the Germans, especially in areas once occupied by the Soviet Union.","[[31, 39, 'MISC'], [80, 88, 'MISC'], [97, 104, 'MISC'], [147, 160, 'LOC']]"
"Even now, many years after the Cold War, there is still much rancor between the Russians and the Germans, especially in areas once occupied by the Soviet Union.","[[31, 39, 'MISC'], [80, 88, 'MISC'], [97, 104, 'MISC'], [147, 160, 'LOC']]"
Johnson is a recluse; he prefers to isolate himself from the rest of the students in our class.,"[[0, 7, 'PER']]"
The guild leader relegated Vince to a lesser officer because he was abusing his power.,"[[27, 32, 'PER']]"
Joan of Arc refused to renounce her belief that the voice she heard was from God and none other.,"[[0, 11, 'PER'], [77, 80, 'MISC']]"
Joan of Arc refused to renounce her belief that the voice she heard was from God and none other.,"[[0, 11, 'PER'], [77, 80, 'MISC']]"
James had a great fear of making mistakes in class and being reprimanded.,"[[0, 5, 'PER']]"
"In order to keep his original idea from being copied, Henry resorted to reticence.","[[54, 59, 'PER']]"
Tim is a huge fan of satirical comedy.,"[[0, 3, 'PER']]"
"Though Alfred is scrupulous in fulfilling his duties at work, he is less conscientious about his obligations at home.","[[7, 13, 'PER']]"
I always have to check my yard for stagnant pools of water so mosquitoes don't breed there.,"[[62, 78, 'PER']]"
"Peter was an altruistic video game player; he would give items to people who needed them, rather than selling them for personal profit.","[[0, 5, 'PER']]"
Jimmy tried to cajole his parents into letting him drive across the country with his friends.,"[[0, 5, 'PER']]"
Bill Clinton spoke in ambiguous language when asked to describe his relationship with Monica Lewinsky.,"[[0, 12, 'PER'], [86, 102, 'PER']]"
Bill Clinton spoke in ambiguous language when asked to describe his relationship with Monica Lewinsky.,"[[0, 12, 'PER'], [86, 102, 'PER']]"
The statue of the Minute Man commemorates the valiant soldiers who fought in the Revolutionary War.,"[[18, 28, 'MISC'], [81, 99, 'MISC']]"
The statue of the Minute Man commemorates the valiant soldiers who fought in the Revolutionary War.,"[[18, 28, 'MISC'], [81, 99, 'MISC']]"
"Baffled by Sherlock Holmes' cryptic remarks, Watson wondered whether Holmes was intentionally concealing his thoughts about the crime.","[[11, 35, 'PER'], [45, 51, 'PER'], [69, 75, 'PER']]"
"Baffled by Sherlock Holmes' cryptic remarks, Watson wondered whether Holmes was intentionally concealing his thoughts about the crime.","[[11, 35, 'PER'], [45, 51, 'PER'], [69, 75, 'PER']]"
"Baffled by Sherlock Holmes' cryptic remarks, Watson wondered whether Holmes was intentionally concealing his thoughts about the crime.","[[11, 35, 'PER'], [45, 51, 'PER'], [69, 75, 'PER']]"
I cannot dance one single step of Salsa.,"[[34, 40, 'LOC']]"
"Ray was willing to corroborate Gary's story, but the police were still unconvinced that either of them were telling the truth.","[[0, 3, 'PER'], [31, 37, 'PER']]"
"Ray was willing to corroborate Gary's story, but the police were still unconvinced that either of them were telling the truth.","[[0, 3, 'PER'], [31, 37, 'PER']]"
I think I'm gonna sneeze. Give me a tissue.,"[[8, 43, 'MISC']]"
"Sorry, I don't think I'm gonna be able to.","[[0, 8, 'PER'], [21, 42, 'MISC']]"
"Sorry, I don't think I'm gonna be able to.","[[0, 8, 'PER'], [21, 42, 'MISC']]"
Life starts when you decide what you are expecting from it.,"[[0, 4, 'PER']]"
They're making too much noise. I can't concentrate.,"[[0, 7, 'LOC']]"
Smith has spent years studying the effects of sleep and sleep loss on memory and learning.,"[[0, 5, 'PER']]"
Mathematics is not just the memorization of formulas.,"[[0, 11, 'MISC']]"
Yes! I won twice in a row!,"[[0, 6, 'MISC']]"
I have French nationality but Vietnamese origins.,"[[7, 13, 'MISC'], [30, 40, 'MISC']]"
I have French nationality but Vietnamese origins.,"[[7, 13, 'MISC'], [30, 40, 'MISC']]"
Do you think mankind will someday colonize the Moon?,"[[47, 52, 'MISC']]"
"What famous songs do you wish you had composed, and why?","[[21, 33, 'MISC']]"
What... you still don't know how to drive?,"[[0, 11, 'MISC']]"
Freedom is not free.,"[[0, 7, 'MISC']]"
I want an MP3 player!,"[[10, 13, 'MISC']]"
