sentence, entity type + position
Today is June 18th and it is Muiriel's birthday!,"[[0, 5, 'DATE'], [9, 18, 'DATE'], [29, 36, 'PERSON']]"
Today is June 18th and it is Muiriel's birthday!,"[[0, 5, 'DATE'], [9, 18, 'DATE'], [29, 36, 'PERSON']]"
Today is June 18th and it is Muiriel's birthday!,"[[0, 5, 'DATE'], [9, 18, 'DATE'], [29, 36, 'PERSON']]"
Muiriel is 20 now.,"[[0, 7, 'PERSON'], [11, 13, 'DATE']]"
Muiriel is 20 now.,"[[0, 7, 'PERSON'], [11, 13, 'DATE']]"
This will cost €30.,"[[16, 18, 'MONEY']]"
I make €100 a day.,"[[8, 11, 'MONEY']]"
I'll call them tomorrow when I come back.,"[[15, 23, 'DATE']]"
"America is a lovely place to be, if you are here to earn money.","[[0, 7, 'GPE']]"
"Back in high school, I got up at 6 a.m. every morning.","[[33, 39, 'TIME'], [40, 53, 'TIME']]"
"Back in high school, I got up at 6 a.m. every morning.","[[33, 39, 'TIME'], [40, 53, 'TIME']]"
"If I could send you a marshmallow, Trang, I would.","[[35, 40, 'PERSON']]"
I wish I could go to Japan.,"[[21, 26, 'GPE']]"
I won't ask you anything else today.,"[[30, 35, 'DATE']]"
It may freeze next week.,"[[14, 23, 'DATE']]"
"If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.","[[63, 78, 'DATE']]"
"I wouldn't have thought I would someday look up ""Viagra"" in Wikipedia.","[[60, 69, 'ORG']]"
I will play Sudoku then instead of continuing to bother you.,"[[12, 18, 'PRODUCT']]"
"It is inevitable that I go to France someday, I just don't know when.","[[30, 36, 'GPE']]"
"Seriously though, episode 21 made me almost cry while laughing.","[[26, 28, 'DATE']]"
My mom doesn't speak English very well.,"[[21, 28, 'LANGUAGE']]"
I don't speak French well enough!,"[[14, 20, 'LANGUAGE']]"
I was wondering if you were going to show up today.,"[[45, 50, 'DATE']]"
You'd be surprised what you can learn in a week.,"[[41, 47, 'DATE']]"
"Tomorrow, he will land on the moon.","[[0, 8, 'DATE']]"
I don't speak Japanese.,"[[14, 22, 'LANGUAGE']]"
I have too many things on my mind these days.,"[[34, 44, 'DATE']]"
"This looks pretty interesting, Hiroshi says.","[[31, 38, 'PERSON']]"
"That's very nice of you, Willie answered.","[[25, 31, 'PERSON']]"
Class doesn't begin until eight-thirty.,"[[26, 38, 'TIME']]"
A Japanese would never do such a thing.,"[[2, 10, 'NORP']]"
Allen is a poet.,"[[0, 5, 'PERSON']]"
"In the 1950's, the Finns were cited as having one of the least healthy diets in the world.","[[3, 13, 'DATE'], [19, 24, 'NORP'], [46, 49, 'CARDINAL']]"
"In the 1950's, the Finns were cited as having one of the least healthy diets in the world.","[[3, 13, 'DATE'], [19, 24, 'NORP'], [46, 49, 'CARDINAL']]"
"In the 1950's, the Finns were cited as having one of the least healthy diets in the world.","[[3, 13, 'DATE'], [19, 24, 'NORP'], [46, 49, 'CARDINAL']]"
The Germans are very crafty.,"[[4, 11, 'NORP']]"
Ten years is a long time to wait.,"[[0, 9, 'DATE']]"
One million people lost their lives in the war.,"[[0, 11, 'CARDINAL']]"
It is not rare at all to live over ninety years.,"[[30, 47, 'DATE']]"
"First, I'm going to do an outline of my new website.","[[0, 5, 'ORDINAL']]"
People from Madrid are weird.,"[[12, 18, 'GPE']]"
Round trip? Only one-way.,"[[17, 20, 'CARDINAL']]"
Wash before first wearing.,"[[12, 17, 'ORDINAL']]"
To have doubts about oneself is the first sign of intelligence.,"[[36, 41, 'ORDINAL']]"
This will be a good souvenir of my trip around the United States.,"[[47, 64, 'GPE']]"
Excuse me; allow me to point out three errors in the above article.,"[[33, 38, 'CARDINAL']]"
Do you speak Italian?,"[[13, 20, 'LANGUAGE']]"
"It is said that ""Hamlet"" is the most interesting play ever written.","[[17, 23, 'WORK_OF_ART']]"
It's quite difficult to master French in 2 or 3 years.,"[[31, 37, 'LANGUAGE'], [41, 53, 'DATE']]"
It's quite difficult to master French in 2 or 3 years.,"[[31, 37, 'LANGUAGE'], [41, 53, 'DATE']]"
It would be fun to see how things change over the years.,"[[46, 55, 'DATE']]"
I can walk to school in 10 minutes.,"[[24, 34, 'TIME']]"
It took me more than two hours to translate a few pages of English.,"[[11, 30, 'TIME'], [59, 66, 'LANGUAGE']]"
It took me more than two hours to translate a few pages of English.,"[[11, 30, 'TIME'], [59, 66, 'LANGUAGE']]"
It is already eleven.,"[[14, 20, 'DATE']]"
May I talk to Ms. Brown?,"[[18, 23, 'PERSON']]"
"Yes, orange juice please, says Mike.","[[31, 35, 'PERSON']]"
Paris is the most beautiful city in the world.,"[[0, 5, 'GPE']]"
This is my friend Rachel. We went to high school together.,"[[18, 24, 'PERSON']]"
To be perfect she lacked just one defect.,"[[30, 33, 'CARDINAL']]"
My name is Jack.,"[[11, 15, 'PERSON']]"
We're meeting up tomorrow?,"[[17, 25, 'DATE']]"
How do you say that in Italian?,"[[23, 30, 'LANGUAGE']]"
I have to go shopping. I'll be back in an hour.,"[[39, 46, 'TIME']]"
Italy is a very beautiful country.,"[[0, 5, 'GPE']]"
I'd like to stay for one night.,"[[21, 30, 'TIME']]"
It has been so long since I last went to Disneyland with my family.,"[[41, 51, 'GPE']]"
It is very hot today.,"[[15, 20, 'DATE']]"
Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.,"[[75, 83, 'DATE']]"
Tonight we're going to church.,"[[0, 7, 'TIME']]"
Merry Christmas!,"[[0, 15, 'PERSON']]"
It would be so cool if I could speak ten languages!,"[[37, 40, 'CARDINAL']]"
