sentence, entity type + position
In Parijs heb ik voor een maand een kamer gehuurd.,"[[3, 9, 'LOC']]"
Muiriel is nu 20 jaar oud.,"[[0, 7, 'PER']]"
Gelukkige verjaardag Muiriel!,"[[21, 28, 'PER']]"
Vandaag is het 18 juni en het is de verjaardag van Muiriel!,"[[51, 58, 'PER']]"
"Het wachtwoord is ""Muiriel"".","[[19, 26, 'PER']]"
Spanjaarden hebben twee achternamen.,"[[0, 11, 'MISC']]"
Paco tekent stadsgezichten,"[[0, 4, 'PER']]"
Raúl kan zich zonder zijn vrienden niet vermaken.,"[[0, 4, 'PER']]"
Rosa Montero is een heel bijzondere vrouw.,"[[0, 12, 'PER']]"
Rubén is vader van drie kinderen.,"[[0, 5, 'PER']]"
Sinds 1975 kent Spanje een democratie.,"[[16, 22, 'LOC']]"
Engels wordt hier niet gesproken.,"[[0, 6, 'MISC']]"
Welke jongen is Masao?,"[[16, 21, 'PER']]"
Wees niet bang om fouten te maken wanneer je Engels spreekt.,"[[45, 51, 'MISC']]"
Zeg het in het Engels.,"[[15, 21, 'MISC']]"
Vertaal deze zin in het Japans alstublieft.,"[[24, 30, 'MISC']]"
Vertaal de volgende zinnen in het Japans.,"[[34, 40, 'MISC']]"
Het kostte me meer dan twee uur om een paar pagina's in het Engels te vertalen.,"[[60, 66, 'MISC']]"
We bleven tijdens de nacht in Hakone.,"[[30, 36, 'LOC']]"
Ze zijn met de auto naar Chicago gegaan.,"[[25, 32, 'LOC']]"
Wat is de oorsprong van de Olympische Spelen?,"[[27, 44, 'MISC']]"
"Hoe hard je het ook probeert, Engels leer je niet in twee, drie maanden.","[[30, 36, 'MISC']]"
Hij is teruggekomen uit China.,"[[24, 29, 'LOC']]"
Japan heeft diplomatieke betrekkingen met China.,"[[0, 5, 'LOC'], [42, 47, 'LOC']]"
Japan heeft diplomatieke betrekkingen met China.,"[[0, 5, 'LOC'], [42, 47, 'LOC']]"
Frankrijk voerde oorlog met Rusland.,"[[0, 9, 'LOC'], [28, 35, 'LOC']]"
Frankrijk voerde oorlog met Rusland.,"[[0, 9, 'LOC'], [28, 35, 'LOC']]"
Frans wordt in Frankrijk gesproken.,"[[0, 5, 'MISC'], [15, 24, 'LOC']]"
Frans wordt in Frankrijk gesproken.,"[[0, 5, 'MISC'], [15, 24, 'LOC']]"
Het is moeilijk voor buitenlanders om Japans te leren.,"[[38, 44, 'MISC']]"
De Verenigde Staten grenzen aan Canada.,"[[3, 19, 'LOC'], [32, 38, 'LOC']]"
De Verenigde Staten grenzen aan Canada.,"[[3, 19, 'LOC'], [32, 38, 'LOC']]"
Bovendien kan hij Ivriet lezen.,"[[18, 24, 'PER']]"
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 165, 'LOC'], [167, 176, 'LOC'], [180, 185, 'LOC']]"
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 165, 'LOC'], [167, 176, 'LOC'], [180, 185, 'LOC']]"
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 165, 'LOC'], [167, 176, 'LOC'], [180, 185, 'LOC']]"
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 165, 'LOC'], [167, 176, 'LOC'], [180, 185, 'LOC']]"
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 165, 'LOC'], [167, 176, 'LOC'], [180, 185, 'LOC']]"
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 165, 'LOC'], [167, 176, 'LOC'], [180, 185, 'LOC']]"
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 165, 'LOC'], [167, 176, 'LOC'], [180, 185, 'LOC']]"
Majoeko heeft vreemd gedroomd.,"[[0, 7, 'PER']]"
Ons bedrijf is van plan een nieuwe chemische fabriek te bouwen in Rusland.,"[[66, 73, 'LOC']]"
Zijn vaderland is Duitsland.,"[[18, 27, 'LOC']]"
Duitsland grenst aan Nederland.,"[[0, 9, 'LOC'], [21, 30, 'LOC']]"
Duitsland grenst aan Nederland.,"[[0, 9, 'LOC'], [21, 30, 'LOC']]"
Teder legde hij zijn hand op haar schouder.,"[[0, 5, 'PER']]"
Mary sloot zichzelf op in haar kamer en deed alle ramen dicht.,"[[0, 4, 'PER']]"
Duitsland was ooit een bondgenoot van Italië.,"[[0, 9, 'LOC'], [38, 44, 'LOC']]"
Duitsland was ooit een bondgenoot van Italië.,"[[0, 9, 'LOC'], [38, 44, 'LOC']]"
"Hij heeft, geloof ik, in Spanje gewoond.","[[25, 31, 'LOC']]"
John weet niet wat hij verder moet doen.,"[[0, 4, 'PER']]"
Dit is Japan.,"[[7, 12, 'LOC']]"
In Wales hebben we een spreekwoord.,"[[3, 8, 'LOC']]"
In Wales hebben ze een spreekwoord.,"[[3, 8, 'LOC']]"
Zwitserland is een neutraal land.,"[[0, 11, 'LOC']]"
Het Latijn is een dode taal.,"[[4, 10, 'MISC']]"
Is dit in Zwitserland gemaakt?,"[[10, 21, 'LOC']]"
"In het noorden ligt Schotland, in het zuiden Engeland, in het westen Wales, en nog verder naar het westen Noord-Ierland.","[[20, 29, 'LOC'], [45, 53, 'LOC'], [69, 74, 'LOC'], [106, 119, 'LOC']]"
"In het noorden ligt Schotland, in het zuiden Engeland, in het westen Wales, en nog verder naar het westen Noord-Ierland.","[[20, 29, 'LOC'], [45, 53, 'LOC'], [69, 74, 'LOC'], [106, 119, 'LOC']]"
"In het noorden ligt Schotland, in het zuiden Engeland, in het westen Wales, en nog verder naar het westen Noord-Ierland.","[[20, 29, 'LOC'], [45, 53, 'LOC'], [69, 74, 'LOC'], [106, 119, 'LOC']]"
"In het noorden ligt Schotland, in het zuiden Engeland, in het westen Wales, en nog verder naar het westen Noord-Ierland.","[[20, 29, 'LOC'], [45, 53, 'LOC'], [69, 74, 'LOC'], [106, 119, 'LOC']]"
Kent u de hoofdstad van België?,"[[24, 30, 'LOC']]"
Kennen jullie de hoofdstad van België?,"[[31, 37, 'LOC']]"
Sawako wil naar Frankrijk.,"[[0, 6, 'PER'], [16, 25, 'LOC']]"
Sawako wil naar Frankrijk.,"[[0, 6, 'PER'], [16, 25, 'LOC']]"
Tanabata wordt gevierd in juli.,"[[0, 8, 'PER']]"
Deze roman is geschreven door een bekende Amerikaanse schrijver.,"[[42, 53, 'MISC']]"
Bill is in Japan geweest.,"[[0, 4, 'PER'], [11, 16, 'LOC']]"
Bill is in Japan geweest.,"[[0, 4, 'PER'], [11, 16, 'LOC']]"
Hij is naar Zwitserland gegaan.,"[[12, 23, 'LOC']]"
Canada is groter dan Japan.,"[[0, 6, 'LOC'], [21, 26, 'LOC']]"
Canada is groter dan Japan.,"[[0, 6, 'LOC'], [21, 26, 'LOC']]"
Napoleon heeft zijn leger naar Rusland geleid.,"[[0, 8, 'PER'], [31, 38, 'LOC']]"
Napoleon heeft zijn leger naar Rusland geleid.,"[[0, 8, 'PER'], [31, 38, 'LOC']]"
De Rijn stroomt tussen Frankrijk en Duitsland.,"[[3, 7, 'LOC'], [23, 32, 'LOC'], [36, 45, 'LOC']]"
